"alphaCode_bc","comName"
"ABDU","American Black Duck"
"AGPL","American Golden-Plover"
"ALFL","Alder Flycatcher"
"AMAV","American Avocet"
"AMBI","American Bittern"
"AMCO","American Coot"
"AMCR","American Crow"
"AMDI","American Dipper"
"AMGO","American Goldfinch"
"AMKE","American Kestrel"
"AMPI","American Pipit"
"AMRE","American Redstart"
"AMRO","American Robin"
"AMWI","American Wigeon"
"ANHU","Anna's Hummingbird"
"ANMU","Ancient Murrelet"
"ARTE","Arctic Tern"
"ATSP","American Tree Sparrow"
"ATTW","American Three-toed Woodpecker"
"AUWA","Yellow-rumped Warbler (Audubon's)"
"AWPE","American White Pelican"
"BAEA","Bald Eagle"
"BAGO","Barrow's Goldeneye"
"BAOR","Baltimore Oriole"
"BASA","Baird's Sandpiper"
"BASW","Barn Swallow"
"BAWW","Black-and-white Warbler"
"BAYW","Bay-breasted Warbler"
"BBMA","Black-billed Magpie"
"BBWO","Black-backed Woodpecker"
"BCCH","Black-capped Chickadee"
"BCHU","Black-chinned Hummingbird"
"BCNH","Black-crowned Night-Heron"
"BDOW","Barred Owl"
"BEKI","Belted Kingfisher"
"BEWR","Bewick's Wren"
"BHCO","Brown-headed Cowbird"
"BHGR","Black-headed Grosbeak"
"BHVI","Blue-headed Vireo"
"BKPW","Blackpoll Warbler"
"BKSW","Bank Swallow"
"BLJA","Blue Jay"
"BLKI","Black-legged Kittiwake"
"BLOY","Black Oystercatcher"
"BLSW","Black Swift"
"BLTE","Black Tern"
"BNOW","Barn Owl"
"BNST","Black-necked Stilt"
"BOBO","Bobolink"
"BOCH","Boreal Chickadee"
"BOGU","Bonaparte's Gull"
"BOOW","Boreal Owl"
"BOWA","Bohemian Waxwing"
"BRAN","Brant"
"BRBL","Brewer's Blackbird"
"BRCO","Brandt's Cormorant"
"BRCR","Brown Creeper"
"BRSP","Brewer's Sparrow"
"BRTH","Brown Thrasher"
"BTBW","Black-throated Blue Warbler"
"BTGW","Black-throated Gray Warbler"
"BTHU","Broad-tailed Hummingbird"
"BTNW","Black-throated Green Warbler"
"BTPI","Band-tailed Pigeon"
"BTSP","Black-throated Sparrow"
"BUFF","Bufflehead"
"BUOR","Bullock's Oriole"
"BUOW","Burrowing Owl"
"BUSH","Bushtit"
"BWHA","Broad-winged Hawk"
"BWTE","Blue-winged Teal"
"CAAU","Cassin's Auklet"
"CAFI","Cassin's Finch"
"CAGO","Canada Goose"
"CAGU","California Gull"
"CAHU","Calliope Hummingbird"
"CANV","Canvasback"
"CAQU","California Quail"
"CATE","Caspian Tern"
"CAVI","Cassin's Vireo"
"CAWA","Canada Warbler"
"CAWR","Canyon Wren"
"CBCH","Chestnut-backed Chickadee"
"CCSP","Clay-colored Sparrow"
"CEWA","Cedar Waxwing"
"CHSP","Chipping Sparrow"
"CHUK","Chukar"
"CITE","Cinnamon Teal"
"CLGR","Clark's Grebe"
"CLNU","Clark's Nutcracker"
"CLSW","Cliff Swallow"
