"speciesCode","comNameCode","bandingCode","comName","sciNameCode","sciName","familyComName","familySciName","familyCode","order"
"emu1","EMU COEM","","Emu","DRNO","Dromaius novaehollandiae","Cassowaries and Emu","Casuariidae","casuar1","Casuariiformes"
"bahgoo","BHGO","","Bar-headed Goose","ANIN","Anser indicus","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"empgoo","","EMGO","Emperor Goose","ANCA","Anser canagicus","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"snogoo","","SNGO","Snow Goose","ANCA","Anser caerulescens","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"rosgoo","","ROGO","Ross's Goose","ANRO","Anser rossii","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"sxrgoo1","SNGO ROGO","SRGH","Snow x Ross's Goose (hybrid)","ANRO ANCA","Anser caerulescens x rossii","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"gragoo","","GRGO","Graylag Goose","ANAN","Anser anser","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"swagoo1","SWGO","","Swan Goose","ANCY","Anser cygnoides","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00776","GRGO SWGO","","Graylag x Swan Goose (hybrid)","ANAN ANCY","Anser anser x cygnoides","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"gwfgoo","","GWFG","Greater White-fronted Goose","ANAL","Anser albifrons","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"taibeg1","BEGO TBGO","TABG","Taiga Bean-Goose","ANFA","Anser fabalis","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"pifgoo","","PFGO","Pink-footed Goose","ANBR","Anser brachyrhynchus","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"brant","BRGO","BRAN","Brant","BRBE","Branta bernicla","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"bargoo","BAGO","BARG","Barnacle Goose","BRLE","Branta leucopsis","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"cacgoo1","CAGO","CACG","Cackling Goose","BRHU","Branta hutchinsii","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00414","GWFG CACG CAGO","","Greater White-fronted x Cackling Goose (hybrid)","ANAL BRHU","Anser albifrons x Branta hutchinsii","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"cangoo","CAGO","CANG","Canada Goose","BRCA","Branta canadensis","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"swagoo3","CANG CAGO SWGO","","Swan Goose x Canada Goose (hybrid)","ANCY BRCA","Anser cygnoides x Branta canadensis","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00415","CANG GWFG CAGO","","Greater White-fronted x Canada Goose (hybrid)","BRCA ANAL","Anser albifrons x Branta canadensis","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00758","CANG CAGO GRGO","","Graylag x Canada Goose (hybrid)","ANAN BRCA","Anser anser x Branta canadensis","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00759","","","Domestic goose sp. x Canada Goose (hybrid)","","Anser sp. (Domestic type) x Branta canadensis","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"mutswa","","MUSW","Mute Swan","CYOL","Cygnus olor","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"blkswa","BLSW","","Black Swan","CYAT","Cygnus atratus","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"truswa","TRSW","TRUS","Trumpeter Swan","CYBU","Cygnus buccinator","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00832","MUSW TRSW TRUS","","Mute x Trumpeter Swan (hybrid)","CYOL CYBU","Cygnus olor x buccinator","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"tunswa","BESW","TUSW","Tundra Swan","CYCO","Cygnus columbianus","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"whoswa","WHSW","WHOS","Whooper Swan","CYCY","Cygnus cygnus","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"egygoo","","EGGO","Egyptian Goose","ALAE","Alopochen aegyptiaca","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"rudshe","","RUSH","Ruddy Shelduck","TAFE","Tadorna ferruginea","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"musduc","","MUDU","Muscovy Duck","CAMO","Cairina moschata","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"rintea1","RITE","","Ringed Teal","CALE","Callonetta leucophrys","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"wooduc","CWDU","WODU","Wood Duck","AISP","Aix sponsa","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"manduc","MADU","","Mandarin Duck","AIGA","Aix galericulata","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00833","WODU CWDU MADU","","Wood x Mandarin Duck (hybrid)","AIGA AISP","Aix sponsa x galericulata","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"baitea","","BATE","Baikal Teal","SIFO","Sibirionetta formosa","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"gargan","","GARG","Garganey","SPQU","Spatula querquedula","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"buwtea","","BWTE","Blue-winged Teal","SPDI","Spatula discors","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"cintea","","CITE","Cinnamon Teal","SPCY","Spatula cyanoptera","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"bwxtea1","CITE BWTE","","Blue-winged x Cinnamon Teal (hybrid)","SPDI SPCY","Spatula discors x cyanoptera","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"norsho","NOSH","NSHO","Northern Shoveler","SPCL","Spatula clypeata","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00629","NSHO BWTE NOSH","","Blue-winged Teal x Northern Shoveler (hybrid)","SPCL SPDI","Spatula discors x clypeata","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00630","CITE NSHO NOSH","","Cinnamon Teal x Northern Shoveler (hybrid)","SPCL SPCY","Spatula cyanoptera x clypeata","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"gadwal","","GADW","Gadwall","MAST","Mareca strepera","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"falduc","","FADU","Falcated Duck","MAFA","Mareca falcata","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"eurwig","","EUWI","Eurasian Wigeon","MAPE","Mareca penelope","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"amewig","","AMWI","American Wigeon","MAAM","Mareca americana","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00724","AMWI GADW","","Gadwall x American Wigeon (hybrid)","MAST MAAM","Mareca strepera x americana","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00421","AMWI EUWI","","Eurasian x American Wigeon (hybrid)","MAPE MAAM","Mareca penelope x americana","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"mallar3","","MALL","Mallard","ANPL","Anas platyrhynchos","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"mdxmal1","MUDU MALL","","Muscovy Duck x Mallard (hybrid)","ANPL CAMO","Cairina moschata x Anas platyrhynchos","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00612","NSHO NOSH MALL","","Northern Shoveler x Mallard (hybrid)","SPCL ANPL","Spatula clypeata x Anas platyrhynchos","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00420","GADW MALL","","Gadwall x Mallard (hybrid)","MAST ANPL","Mareca strepera x Anas platyrhynchos","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00611","AMWI MALL","","American Wigeon x Mallard (hybrid)","ANPL MAAM","Mareca americana x Anas platyrhynchos","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"ambduc","","ABDU","American Black Duck","ANRU","Anas rubripes","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00004","ABDU MALL","MBDH","Mallard x American Black Duck (hybrid)","ANRU ANPL","Anas platyrhynchos x rubripes","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"whcpin","WCPI","WCHP","White-cheeked Pintail","ANBA","Anas bahamensis","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"norpin","","NOPI","Northern Pintail","ANAC","Anas acuta","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00610","GADW NOPI","","Gadwall x Northern Pintail (hybrid)","ANAC MAST","Mareca strepera x Anas acuta","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00196","AMWI NOPI","","American Wigeon x Northern Pintail (hybrid)","ANAC MAAM","Mareca americana x Anas acuta","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00628","NOPI MALL","","Mallard x Northern Pintail (hybrid)","ANAC ANPL","Anas platyrhynchos x acuta","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"gnwtea","EUTE CWTE EWTE","GWTE","Green-winged Teal","ANCR","Anas crecca","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00673","GWTE BWTE EUTE CWTE EWTE","","Blue-winged x Green-winged Teal (hybrid)","SPDI ANCR","Spatula discors x Anas crecca","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00646","AMWI GWTE EUTE CWTE EWTE","","American Wigeon x Green-winged Teal (hybrid)","ANCR MAAM","Mareca americana x Anas crecca","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00725","GWTE EUTE CWTE EWTE NOPI","","Northern Pintail x Green-winged Teal (hybrid)","ANAC ANCR","Anas acuta x crecca","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"recpoc","RCPO","","Red-crested Pochard","NERU","Netta rufina","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"canvas","","CANV","Canvasback","AYVA","Aythya valisineria","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"redhea","","REDH","Redhead","AYAM","Aythya americana","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"compoc","COPO","COMP","Common Pochard","AYFE","Aythya ferina","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"rinduc","","RNDU","Ring-necked Duck","AYCO","Aythya collaris","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00880","CANV RNDU","","Canvasback x Ring-necked Duck (hybrid)","AYVA AYCO","Aythya valisineria x collaris","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"tufduc","","TUDU","Tufted Duck","AYFU","Aythya fuligula","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"gresca","","GRSC","Greater Scaup","AYMA","Aythya marila","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00779","GRSC RNDU","","Ring-necked Duck x Greater Scaup (hybrid)","AYCO AYMA","Aythya collaris x marila","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"lessca","","LESC","Lesser Scaup","AYAF","Aythya affinis","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00613","LESC RNDU","","Ring-necked Duck x Lesser Scaup (hybrid)","AYCO AYAF","Aythya collaris x affinis","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00653","TUDU LESC","","Tufted Duck x Lesser Scaup (hybrid)","AYFU AYAF","Aythya fuligula x affinis","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00377","CANV","","Canvasback x scaup sp. (hybrid)","AYVA","Aythya valisineria x marila/affinis","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00681","REDH","","Redhead x scaup sp. (hybrid)","AYAM","Aythya americana x marila/affinis","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00682","RNDU","","Ring-necked Duck x scaup sp. (hybrid)","AYCO","Aythya collaris x marila/affinis","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"tdxsca1","TUDU","","Tufted Duck x scaup sp. (hybrid)","AYFU","Aythya fuligula x marila/affinis","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"steeid","","STEI","Steller's Eider","POST","Polysticta stelleri","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"kineid","","KIEI","King Eider","SOSP","Somateria spectabilis","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"comeid","","COEI","Common Eider","SOMO","Somateria mollissima","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
