"speciesCode","comNameCode","bandingCode","comName","sciNameCode","sciName","familyComName","familySciName","familyCode","order"
"snogoo","","SNGO","Snow Goose","ANCA","Anser caerulescens","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"gwfgoo","","GWFG","Greater White-fronted Goose","ANAL","Anser albifrons","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"brant","BRGO","BRAN","Brant","BRBE","Branta bernicla","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"cacgoo1","CAGO","CACG","Cackling Goose","BRHU","Branta hutchinsii","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"cangoo","CAGO","CANG","Canada Goose","BRCA","Branta canadensis","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"mutswa","","MUSW","Mute Swan","CYOL","Cygnus olor","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"truswa","TRSW","TRUS","Trumpeter Swan","CYBU","Cygnus buccinator","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"tunswa","BESW","TUSW","Tundra Swan","CYCO","Cygnus columbianus","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"wooduc","CWDU","WODU","Wood Duck","AISP","Aix sponsa","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"buwtea","","BWTE","Blue-winged Teal","SPDI","Spatula discors","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"cintea","","CITE","Cinnamon Teal","SPCY","Spatula cyanoptera","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"norsho","NOSH","NSHO","Northern Shoveler","SPCL","Spatula clypeata","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"gadwal","","GADW","Gadwall","MAST","Mareca strepera","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"eurwig","","EUWI","Eurasian Wigeon","MAPE","Mareca penelope","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"amewig","","AMWI","American Wigeon","MAAM","Mareca americana","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00421","AMWI EUWI","","Eurasian x American Wigeon (hybrid)","MAPE MAAM","Mareca penelope x americana","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"mallar3","","MALL","Mallard","ANPL","Anas platyrhynchos","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"norpin","","NOPI","Northern Pintail","ANAC","Anas acuta","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00628","NOPI MALL","","Mallard x Northern Pintail (hybrid)","ANAC ANPL","Anas platyrhynchos x acuta","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
