"alphaCode_bc","bandingCode","comNameCode","speciesCode","comName","comName_ebird"
"ABDU","ABDU","","ambduc","American Black Duck","American Black Duck"
"AGPL","AMGP","AGPL","amgplo","American Golden-Plover","American Golden-Plover"
"ALFL","ALFL","","aldfly","Alder Flycatcher","Alder Flycatcher"
"AMAV","AMAV","","ameavo","American Avocet","American Avocet"
"AMBI","AMBI","","amebit","American Bittern","American Bittern"
"AMCO","AMCO","","y00475","American Coot","American Coot"
"AMCR","AMCR","","amecro","American Crow","American Crow"
"AMDI","AMDI","","amedip","American Dipper","American Dipper"
"AMGO","AGOL","AMGO","amegfi","American Goldfinch","American Goldfinch"
"AMKE","AMKE","","amekes","American Kestrel","American Kestrel"
"AMPI","AMPI","BBPI","amepip","American Pipit","American Pipit"
"AMRE","AMRE","","amered","American Redstart","American Redstart"
"AMRO","AMRO","ALRO","amerob","American Robin","American Robin"
"AMWI","AMWI","","amewig","American Wigeon","American Wigeon"
"ANHU","ANHU","","annhum","Anna's Hummingbird","Anna's Hummingbird"
"ANMU","ANMU","","ancmur","Ancient Murrelet","Ancient Murrelet"
"ARTE","ARTE","","arcter","Arctic Tern","Arctic Tern"
"ATSP","ATSP","","amtspa","American Tree Sparrow","American Tree Sparrow"
"ATTW","ATTW","TTWO","attwoo1","American Three-toed Woodpecker","American Three-toed Woodpecker"
"AUWA","AUWA","MYWA YRWA","audwar","Yellow-rumped Warbler (Audubon's)","Yellow-rumped Warbler (Audubon's)"
"AWPE","AWPE","","amwpel","American White Pelican","American White Pelican"
"BAEA","BAEA","","baleag","Bald Eagle","Bald Eagle"
"BAGO","BAGO","","bargol","Barrow's Goldeneye","Barrow's Goldeneye"
"","BARG","BAGO","bargoo","Barnacle Goose",""
"BAOR","BAOR","","balori","Baltimore Oriole","Baltimore Oriole"
"BASA","BASA","","baisan","Baird's Sandpiper","Baird's Sandpiper"
"BASW","BARS","BASW","barswa","Barn Swallow","Barn Swallow"
"BAWW","BAWW","","bawwar","Black-and-white Warbler","Black-and-white Warbler"
"BAYW","BBWA","","babwar","Bay-breasted Warbler","Bay-breasted Warbler"
"BBMA","BBMA","AMMA","bkbmag1","Black-billed Magpie","Black-billed Magpie"
"BBWO","BBWO","","bkbwoo","Black-backed Woodpecker","Black-backed Woodpecker"
"BCCH","BCCH","","bkcchi","Black-capped Chickadee","Black-capped Chickadee"
"BCHU","BCHU","","bkchum","Black-chinned Hummingbird","Black-chinned Hummingbird"
"BCNH","BCNH","","bcnher","Black-crowned Night-Heron","Black-crowned Night Heron"
"BDOW","BADO","BAOW","brdowl","Barred Owl","Barred Owl"
"BEKI","BEKI","","belkin1","Belted Kingfisher","Belted Kingfisher"
"BEWR","BEWR","","bewwre","Bewick's Wren","Bewick's Wren"
"BHCO","BHCO","","bnhcow","Brown-headed Cowbird","Brown-headed Cowbird"
"BHGR","BHGR","","bkhgro","Black-headed Grosbeak","Black-headed Grosbeak"
"BHVI","BHVI","","buhvir","Blue-headed Vireo","Blue-headed Vireo"
"BKPW","BLPW","BLWA","bkpwar","Blackpoll Warbler","Blackpoll Warbler"
"BKSW","BANS","SAMA BASW CSMA","banswa","Bank Swallow","Bank Swallow"
"BLJA","BLJA","","blujay","Blue Jay","Blue Jay"
"BLKI","BLKI","","bklkit","Black-legged Kittiwake","Black-legged Kittiwake"
"BLOY","BLOY","","blkoys","Black Oystercatcher","Black Oystercatcher"
"BLSW","BLSW","ABSW","blkswi","Black Swift","Black Swift"
"","","BLSW","blkswa","Black Swan",""
"BLTE","BLTE","","blkter","Black Tern","Black Tern"
"BNOW","BANO","CBOW BAOW WBOW COBO","brnowl","Barn Owl","Barn Owl"
"BNST","BNST","BWST BNBS","bknsti","Black-necked Stilt","Black-necked Stilt"
"BOBO","BOBO","","boboli","Bobolink","Bobolink"
"BOCH","BOCH","","borchi2","Boreal Chickadee","Boreal Chickadee"
"BOGU","BOGU","","bongul","Bonaparte's Gull","Bonaparte's Gull"
"BOOW","BOOW","TEOW","borowl","Boreal Owl","Boreal Owl"
"BOWA","BOWA","","bohwax","Bohemian Waxwing","Bohemian Waxwing"
"BRAN","BRAN","BRGO","brant","Brant","Brant"
"BRBL","BRBL","","brebla","Brewer's Blackbird","Brewer's Blackbird"
"BRCO","BRAC","BRCO","bracor","Brandt's Cormorant","Brandt's Cormorant"
"BRCR","BRCR","AMTR ABCR","brncre","Brown Creeper","Brown Creeper"
"BRSP","BRSP","","brespa","Brewer's Sparrow","Brewer's Sparrow"
"BRTH","BRTH","","brnthr","Brown Thrasher","Brown Thrasher"
"BTBW","BTBW","","btbwar","Black-throated Blue Warbler","Black-throated Blue Warbler"
"BTGW","BTYW","BTGW","btywar","Black-throated Gray Warbler","Black-throated Gray Warbler"
"BTHU","BTHU","","brthum","Broad-tailed Hummingbird","Broad-tailed Hummingbird"
"BTNW","BTNW","BTGW","btnwar","Black-throated Green Warbler","Black-throated Green Warbler"
"BTPI","BTPI","NBTP","batpig1","Band-tailed Pigeon","Band-tailed Pigeon"
"BTSP","BTSP","","bktspa","Black-throated Sparrow","Black-throated Sparrow"
"BUFF","BUFF","","buffle","Bufflehead","Bufflehead"
"","","BUFF","x00909","Bufflehead x goldeneye sp. (hybrid)",""
"BUOR","BUOR","","bulori","Bullock's Oriole","Bullock's Oriole"
"BUOW","BUOW","","burowl","Burrowing Owl","Burrowing Owl"
"BUSH","BUSH","AMBU","bushti","Bushtit","Bushtit"
"","BULS","BUSH","bulshe","Buller's Shearwater",""
"BWHA","BWHA","","brwhaw","Broad-winged Hawk","Broad-winged Hawk"
"BWTE","BWTE","","buwtea","Blue-winged Teal","Blue-winged Teal"
"CAAU","CAAU","","casauk","Cassin's Auklet","Cassin's Auklet"
"CAFI","CAFI","","casfin","Cassin's Finch","Cassin's Finch"
"CAGO","CANG","CAGO","cangoo","Canada Goose","Canada Goose"
"","CACG","CAGO","cacgoo1","Cackling Goose",""
"CAGU","CAGU","","calgul","California Gull","California Gull"
"CAHU","CAHU","","calhum","Calliope Hummingbird","Calliope Hummingbird"
"CANV","CANV","","canvas","Canvasback","Canvasback"
"","","CANV","x00377","Canvasback x scaup sp. (hybrid)",""
"CAQU","CAQU","","calqua","California Quail","California Quail"
"CATE","CATE","","caster1","Caspian Tern","Caspian Tern"
"CAVI","CAVI","","casvir","Cassin's Vireo","Cassin's Vireo"
"CAWA","CAWA","","canwar","Canada Warbler","Canada Warbler"
"CAWR","CANW","CAWR","canwre","Canyon Wren","Canyon Wren"
"CBCH","CBCH","","chbchi","Chestnut-backed Chickadee","Chestnut-backed Chickadee"
"CCSP","CCSP","","clcspa","Clay-colored Sparrow","Clay-colored Sparrow"
"CEWA","CEDW","CEWA","cedwax","Cedar Waxwing","Cedar Waxwing"
"CHSP","CHSP","","chispa","Chipping Sparrow","Chipping Sparrow"
"CHUK","CHUK","CHPA","chukar","Chukar","Chukar"
"CITE","CITE","","cintea","Cinnamon Teal","Cinnamon Teal"
"CLGR","CLGR","","clagre","Clark's Grebe","Clark's Grebe"
"CLNU","CLNU","","clanut","Clark's Nutcracker","Clark's Nutcracker"
"CLSW","CLSW","ACSW","cliswa","Cliff Swallow","Cliff Swallow"
"CMWA","CMWA","","camwar","Cape May Warbler","Cape May Warbler"
"COFL","","","","Cordilleran Flycatcher",""
"COGO","COGO","","comgol","Common Goldeneye","Common Goldeneye"
"COGR","COGR","","comgra","Common Grackle","Common Grackle"
"COHA","COHA","","coohaw","Cooper's Hawk","Cooper's Hawk"
"COLO","COLO","GNDI","comloo","Common Loon","Common Loon"
"COME","COME","GOOS","commer","Common Merganser","Common Merganser"
"COMU","COMU","COGU","commur","Common Murre","Common Murre"
"CONI","CONI","","comnig","Common Nighthawk","Common Nighthawk"
"COPO","COPO","","compoo","Common Poorwill","Common Poorwill"
"","COMP","COPO","compoc","Common Pochard",""
"CORA","CORA","NORA","comrav","Common Raven","Common Raven"
"CORE","CORE","REDP","comred","Common Redpoll","Common Redpoll"
"COTE","COTE","","comter","Common Tern","Common Tern"
"COWA","CONW","COWA","conwar","Connecticut Warbler","Connecticut Warbler"
"COYE","COYE","","comyel","Common Yellowthroat","Common Yellowthroat"
"CROW","","","","American or Northwestern Crow",""
"CSWA","CSWA","","chswar","Chestnut-sided Warbler","Chestnut-sided Warbler"
"DCCO","DCCO","","doccor","Double-crested Cormorant","Double-crested Cormorant"
"DEJU","DEJU","","daejun","Dark-eyed Junco","Dark-eyed Junco"
"DOWO","DOWO","","dowwoo","Downy Woodpecker","Downy Woodpecker"
"DUFL","DUFL","ADFL","dusfly","Dusky Flycatcher","Dusky Flycatcher"
"DUGR","DUGR","","dusgro","Dusky Grouse","Dusky Grouse"
"EAGR","EAGR","BNGR","eargre","Eared Grebe","Eared Grebe"
"EAKI","EAKI","","easkin","Eastern Kingbird","Eastern Kingbird"
"EAPH","EAPH","","easpho","Eastern Phoebe","Eastern Phoebe"
"ECDO","EUCD","CODO ECDO","eucdov","Eurasian Collared-Dove","Eurasian Collared-Dove"
"EUST","EUST","COST","eursta","European Starling","European Starling"
"EUWI","EUWI","","eurwig","Eurasian Wigeon","Eurasian Wigeon"
"EVGR","EVGR","","evegro","Evening Grosbeak","Evening Grosbeak"
"EWWR","WIWR","AWWR","winwre3","Winter Wren","Winter Wren"
"FEHA","FEHA","","ferhaw","Ferruginous Hawk","Ferruginous Hawk"
"FLOW","FLOW","","flaowl","Flammulated Owl","Flammulated Owl"
"FOSP","FOSP","FSSP","foxspa","Fox Sparrow","Fox Sparrow"
"FOTE","FOTE","","forter","Forster's Tern","Forster's Tern"
"FRGU","FRGU","","fragul","Franklin's Gull","Franklin's Gull"
"FTSP","FTSP","","ftspet","Fork-tailed Storm-Petrel","Fork-tailed Storm-Petrel"
"GADW","GADW","","gadwal","Gadwall","Gadwall"
"GBHE","GBHE","GBWH","grbher3","Great Blue Heron","Great Blue Heron"
"GCKI","GCKI","","gockin","Golden-crowned Kinglet","Golden-crowned Kinglet"
"GCRF","GCRF","","gcrfin","Gray-crowned Rosy-Finch","Gray-crowned Rosy-Finch"
"GCSP","GCSP","","gocspa","Golden-crowned Sparrow","Golden-crowned Sparrow"
"GCTH","GCTH","","gycthr","Gray-cheeked Thrush","Gray-cheeked Thrush"
"GGOW","GGOW","","grgowl","Great Gray Owl","Great Gray Owl"
"GHOW","GHOW","","grhowl","Great Horned Owl","Great Horned Owl"
"GOEA","GOEA","","goleag","Golden Eagle","Golden Eagle"
"GRCA","GRCA","","grycat","Gray Catbird","Gray Catbird"
"GRFL","GRFL","AGFL","gryfly","Gray Flycatcher","Gray Flycatcher"
"GRHE","GRHE","GBHE","grnher","Green Heron","Green Heron"
"GRJA","CAJA","GRJA","gryjay","Gray Jay","Canada Jay"
"GRPA","GRAP","GRPA","grypar","Gray Partridge","Gray Partridge"
"GRSC","GRSC","","gresca","Greater Scaup","Greater Scaup"
"GRSP","GRSP","","graspa","Grasshopper Sparrow","Grasshopper Sparrow"
"GRYE","GRYE","","greyel","Greater Yellowlegs","Greater Yellowlegs"
"GWGH","WGWH","WEGU GWGU","x00051","Western x Glaucous-winged Gull (hybrid)","Western x Glaucous-winged Gull (hybrid)"
"GWGU","GWGU","","glwgul","Glaucous-winged Gull","Glaucous-winged Gull"
"GWTE","GWTE","EUTE CWTE EWTE","gnwtea","Green-winged Teal","Green-winged Teal"
"GYRF","GYRF","GYFA","gyrfal","Gyrfalcon","Gyrfalcon"
"HADU","HADU","","harduc","Harlequin Duck","Harlequin Duck"
"HAFL","HAFL","","hamfly","Hammond's Flycatcher","Hammond's Flycatcher"
"HAHA","HRLH","RTHA","hrthaw1","Red-tailed Hawk (Harlan's)","Red-tailed Hawk (Harlan's)"
"","HAHA","","hrshaw","Harris's Hawk",""
"HAWO","HAWO","","haiwoo","Hairy Woodpecker","Hairy Woodpecker"
"HEGU","HERG","AHHG EHGU HEGU","hergul","Herring Gull","Herring Gull"
"","HELG","HEGU","helgui","Helmeted Guineafowl",""
"","HEEG","HEGU","heegul","Heermann's Gull",""
