"alphaCode_bc","bandingCode","comNameCode","speciesCode","comName","comName_ebird","sciNameCode","sciName","familyComName","familySciName","familyCode","order","comment"
"ABDU","","","","American Black Duck","American Black Duck","","","","","","",""
"AGPL","","","","American Golden-Plover","American Golden-Plover","","","","","","",""
"ALFL","","","","Alder Flycatcher","Alder Flycatcher","","","","","","",""
"AMAV","","","","American Avocet","American Avocet","","","","","","",""
"AMBI","AMBI","","amebit","American Bittern","American Bittern","BOLE","Botaurus lentiginosus","Herons, Egrets, and Bitterns","Ardeidae","ardeid1","Pelecaniformes",""
"AMCO","AMCO","","y00475","American Coot","American Coot","FUAM","Fulica americana","Rails, Gallinules, and Coots","Rallidae","rallid1","Gruiformes",""
"AMCR","AMCR","","amecro","American Crow","American Crow","COBR","Corvus brachyrhynchos","Crows, Jays, and Magpies","Corvidae","corvid1","Passeriformes",""
"AMDI","AMDI","","amedip","American Dipper","American Dipper","CIME","Cinclus mexicanus","Dippers","Cinclidae","cincli1","Passeriformes",""
"AMGO","AGOL","AMGO","amegfi","American Goldfinch","American Goldfinch","SPTR","Spinus tristis","Finches, Euphonias, and Allies","Fringillidae","fringi1","Passeriformes",""
"AMKE","AMKE","","amekes","American Kestrel","American Kestrel","FASP","Falco sparverius","Falcons and Caracaras","Falconidae","falcon1","Falconiformes",""
"AMPI","AMPI","BBPI","amepip","American Pipit","American Pipit","ANRU","Anthus rubescens","Wagtails and Pipits","Motacillidae","motaci1","Passeriformes",""
"AMRE","AMRE","","amered","American Redstart","American Redstart","SERU","Setophaga ruticilla","New World Warblers","Parulidae","paruli1","Passeriformes",""
"AMRO","AMRO","ALRO","amerob","American Robin","American Robin","TUMI","Turdus migratorius","Thrushes and Allies","Turdidae","turdid1","Passeriformes",""
"AMWI","AMWI","","amewig","American Wigeon","American Wigeon","MAAM","Mareca americana","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"ANHU","ANHU","","annhum","Anna's Hummingbird","Anna's Hummingbird","CAAN","Calypte anna","Hummingbirds","Trochilidae","trochi1","Caprimulgiformes",""
"ANMU","","","","Ancient Murrelet","Ancient Murrelet","","","","","","",""
"ARTE","","","","Arctic Tern","Arctic Tern","","","","","","",""
"ATSP","ATSP","","amtspa","American Tree Sparrow","American Tree Sparrow","SPAR","Spizelloides arborea","New World Sparrows","Passerellidae","passer3","Passeriformes",""
"ATTW","","","","American Three-toed Woodpecker","American Three-toed Woodpecker","","","","","","",""
"AUWA","AUWA","MYWA YRWA","audwar","Yellow-rumped Warbler (Audubon's)","Yellow-rumped Warbler (Audubon's)","SECO","Setophaga coronata auduboni","New World Warblers","Parulidae","paruli1","Passeriformes",""
"AWPE","AWPE","","amwpel","American White Pelican","American White Pelican","PEER","Pelecanus erythrorhynchos","Pelicans","Pelecanidae","peleca1","Pelecaniformes",""
"BAEA","BAEA","","baleag","Bald Eagle","Bald Eagle","HALE","Haliaeetus leucocephalus","Hawks, Eagles, and Kites","Accipitridae","accipi1","Accipitriformes",""
"BAGO","BAGO","","bargol","Barrow's Goldeneye","Barrow's Goldeneye","BUIS","Bucephala islandica","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"BAOR","","","","Baltimore Oriole","Baltimore Oriole","","","","","","",""
"BASA","BASA","","baisan","Baird's Sandpiper","Baird's Sandpiper","CABA","Calidris bairdii","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes",""
"BASW","BARS","BASW","barswa","Barn Swallow","Barn Swallow","HIRU","Hirundo rustica","Swallows","Hirundinidae","hirund2","Passeriformes",""
"BAWW","BAWW","","bawwar","Black-and-white Warbler","Black-and-white Warbler","MNVA","Mniotilta varia","New World Warblers","Parulidae","paruli1","Passeriformes",""
"BAYW","","","","Bay-breasted Warbler","Bay-breasted Warbler","","","","","","",""
"BBMA","","","","Black-billed Magpie","Black-billed Magpie","","","","","","",""
"BBWO","","","","Black-backed Woodpecker","Black-backed Woodpecker","","","","","","",""
"BCCH","BCCH","","bkcchi","Black-capped Chickadee","Black-capped Chickadee","POAT","Poecile atricapillus","Tits, Chickadees, and Titmice","Paridae","parida1","Passeriformes",""
"BCHU","","","","Black-chinned Hummingbird","Black-chinned Hummingbird","","","","","","",""
"BCNH","","","","Black-crowned Night-Heron","Black-crowned Night-Heron","","","","","","",""
"BDOW","BADO","BAOW","brdowl","Barred Owl","Barred Owl","STVA","Strix varia","Owls","Strigidae","strigi1","Strigiformes",""
"BEKI","BEKI","","belkin1","Belted Kingfisher","Belted Kingfisher","MEAL","Megaceryle alcyon","Kingfishers","Alcedinidae","alcedi1","Coraciiformes",""
"BEWR","BEWR","","bewwre","Bewick's Wren","Bewick's Wren","THBE","Thryomanes bewickii","Wrens","Troglodytidae","troglo1","Passeriformes",""
