"alphaCode_bc","comName","comName_tmp","alphaCode_bc_tmp","speciesCode","comNameCode","bandingCode","sciNameCode","sciName"
"ABDU","American Black Duck","American Black Duck","ABDU","ambduc","","ABDU","ANRU","Anas rubripes"
"AGPL","American Golden-Plover","American Golden-Plover","AGPL","amgplo","AGPL","AMGP","PLDO","Pluvialis dominica"
"ALFL","Alder Flycatcher","Alder Flycatcher","ALFL","aldfly","","ALFL","EMAL","Empidonax alnorum"
"AMAV","American Avocet","American Avocet","AMAV","ameavo","","AMAV","REAM","Recurvirostra americana"
"AMBI","American Bittern","American Bittern","AMBI","amebit","","AMBI","BOLE","Botaurus lentiginosus"
"AMCO","American Coot","American Coot","AMCO","y00475","","AMCO","FUAM","Fulica americana"
"AMCR","American Crow","American Crow","AMCR","amecro","","AMCR","COBR","Corvus brachyrhynchos"
"AMDI","American Dipper","American Dipper","AMDI","amedip","","AMDI","CIME","Cinclus mexicanus"
"AMGO","American Goldfinch","American Goldfinch","AMGO","amegfi","AMGO","AGOL","SPTR","Spinus tristis"
"AMKE","American Kestrel","American Kestrel","AMKE","amekes","","AMKE","FASP","Falco sparverius"
"AMPI","American Pipit","American Pipit","AMPI","amepip","BBPI","AMPI","ANRU","Anthus rubescens"
"AMRE","American Redstart","American Redstart","AMRE","amered","","AMRE","SERU","Setophaga ruticilla"
"AMRO","American Robin","American Robin","AMRO","amerob","ALRO","AMRO","TUMI","Turdus migratorius"
"AMWI","American Wigeon","American Wigeon","AMWI","amewig","","AMWI","MAAM","Mareca americana"
"ANHU","Anna's Hummingbird","Anna's Hummingbird","ANHU","annhum","","ANHU","CAAN","Calypte anna"
"ANMU","Ancient Murrelet","Ancient Murrelet","ANMU","ancmur","","ANMU","SYAN","Synthliboramphus antiquus"
"ARTE","Arctic Tern","Arctic Tern","ARTE","arcter","","ARTE","STPA","Sterna paradisaea"
"ATSP","American Tree Sparrow","American Tree Sparrow","ATSP","amtspa","","ATSP","SPAR","Spizelloides arborea"
"ATTW","American Three-toed Woodpecker","American Three-toed Woodpecker","ATTW","attwoo1","TTWO","ATTW","PIDO","Picoides dorsalis"
"AUWA","Yellow-rumped Warbler (Audubon's)","Yellow-rumped Warbler (Audubon's)","AUWA","audwar","MYWA YRWA","AUWA","SECO","Setophaga coronata auduboni"
"AWPE","American White Pelican","American White Pelican","AWPE","amwpel","","AWPE","PEER","Pelecanus erythrorhynchos"
"BAEA","Bald Eagle","Bald Eagle","BAEA","baleag","","BAEA","HALE","Haliaeetus leucocephalus"
"BAGO","Barrow's Goldeneye","Barrow's Goldeneye","BAGO","bargol","","BAGO","BUIS","Bucephala islandica"
"BAOR","Baltimore Oriole","Baltimore Oriole","BAOR","balori","","BAOR","ICGA","Icterus galbula"
"BASA","Baird's Sandpiper","Baird's Sandpiper","BASA","baisan","","BASA","CABA","Calidris bairdii"
"BASW","Barn Swallow","Barn Swallow","BASW","barswa","BASW","BARS","HIRU","Hirundo rustica"
"BAWW","Black-and-white Warbler","Black-and-white Warbler","BAWW","bawwar","","BAWW","MNVA","Mniotilta varia"
"BAYW","Bay-breasted Warbler","Bay-breasted Warbler","BAYW","babwar","","BBWA","SECA","Setophaga castanea"
"BBMA","Black-billed Magpie","Black-billed Magpie","BBMA","bkbmag1","AMMA","BBMA","PIHU","Pica hudsonia"
"BBWO","Black-backed Woodpecker","Black-backed Woodpecker","BBWO","bkbwoo","","BBWO","PIAR","Picoides arcticus"
"BCCH","Black-capped Chickadee","Black-capped Chickadee","BCCH","bkcchi","","BCCH","POAT","Poecile atricapillus"
"BCHU","Black-chinned Hummingbird","Black-chinned Hummingbird","BCHU","bkchum","","BCHU","ARAL","Archilochus alexandri"
"BCNH","Black-crowned Night-Heron","Black-crowned Night-Heron","BCNH","","","","",""
"BDOW","Barred Owl","Barred Owl","BDOW","brdowl","BAOW","BADO","STVA","Strix varia"
"BEKI","Belted Kingfisher","Belted Kingfisher","BEKI","belkin1","","BEKI","MEAL","Megaceryle alcyon"
"BEWR","Bewick's Wren","Bewick's Wren","BEWR","bewwre","","BEWR","THBE","Thryomanes bewickii"
"BHCO","Brown-headed Cowbird","Brown-headed Cowbird","BHCO","bnhcow","","BHCO","MOAT","Molothrus ater"
"BHGR","Black-headed Grosbeak","Black-headed Grosbeak","BHGR","bkhgro","","BHGR","PHME","Pheucticus melanocephalus"
"BHVI","Blue-headed Vireo","Blue-headed Vireo","BHVI","buhvir","","BHVI","VISO","Vireo solitarius"
"BKPW","Blackpoll Warbler","Blackpoll Warbler","BKPW","bkpwar","BLWA","BLPW","SEST","Setophaga striata"
"BKSW","Bank Swallow","Bank Swallow","BKSW","banswa","SAMA BASW CSMA","BANS","RIRI","Riparia riparia"
"BLJA","Blue Jay","Blue Jay","BLJA","blujay","","BLJA","CYCR","Cyanocitta cristata"
"BLKI","Black-legged Kittiwake","Black-legged Kittiwake","BLKI","bklkit","","BLKI","RITR","Rissa tridactyla"
"BLOY","Black Oystercatcher","Black Oystercatcher","BLOY","blkoys","","BLOY","HABA","Haematopus bachmani"
